"FECHA","TRANSACCIÓN","CUENTA","DESCRIPCIÓN","VALOR"
"2/3/2024","Egreso","Gastos de Grima","Nómina Grima 10% sauche","721.00"
"2/4/2024","Egreso","Gasolina","Bateria del coche","100.00"
"2/6/2024","Ingreso","Comisiones","Comisión Juan Placeres obra restaurante","1656.00"
"2/6/2024","Ingreso","Venta de decorativos","Factura lámparas oficina David","842.24"
"2/6/2024","Egreso","Pago a provedores","Dielca lamparas David","835.67"
"2/6/2024","Egreso","Gastos de Grima","pago viaje grima","1619.33"
"2/6/2024","Egreso","Impuestos","igic juan placeres","126.00"
"2/6/2024","Egreso","Impuestos","igic lamparas David","64.08"
"2/7/2024","Egreso","Gasolina","Gasolina en Arinaga","25.15"
"2/17/2024","Ingreso","Venta de decorativos","Lámparas David oficina resto","137.32"
"2/19/2024","Ingreso","Gastos de Grima","Devolución de la mitad del dinero del viaje","800.00"
"2/29/2024","Egreso","Alimentos","Nómina Grima marzo","1500.00"
"2/20/2024","Egreso","Gastos de Grima","inversion","1500.00"
"2/22/2024","Egreso","Gastos de Grima","Fisio","35.00"
"2/25/2024","Egreso","Pago a provedores","Pago a Adrián Estévez","173.79"
"2/27/2024","Egreso","Gastos de Grima","Fisio","47.00"
"2/29/2024","Egreso","Pago a provedores","Pago letra del ordenador","135.15"
"2/29/2024","Egreso","Seguridad social","Cuota seguridad social","300.67"
"2/11/2024","Egreso","Almacenamiento nube","Dropbox","11.99"
"3/4/2024","Egreso","Gasolina","Gasolina Petroprix","32.74"
"3/1/2024","Ingreso","Suministros","Ingreso por el viaje","300.00"
"3/1/2024","Egreso","Gastos de Grima","Fisio Lia","47.00"
"3/5/2024","Egreso","Pago a provedores","PAGO CORTINA VERTICAL PERSITEN","384.24"
"3/6/2024","Egreso","Pago a provedores","Trastero","94.50"
"3/6/2024","Ingreso","Venta de decorativos","Cortina vertical David","552.99"
"3/4/2024","Egreso","Transporte","Pago parking aeropuerto viaje a feria","24.17"
"3/7/2024","Egreso","Pago a provedores","Hotel Madrid Feria","289.98"
"3/9/2024","Egreso","Alimentos","Restaurante Madrid proveedores","109.00"
"3/9/2024","Egreso","Transporte","Taxi al hotel","17.05"
"3/4/2024","Egreso","Teléfono/internet","Teléfono marzo","61.52"
"3/19/2024","Ingreso","Comisiones","Comisión Gorohogar mesas","288.88"
"3/19/2024","Egreso","Impuestos","Igic Gorohogar","21.98"
"3/15/2024","Egreso","Gasolina","Gasolina","33.52"
"3/21/2024","Ingreso","Factura Diseño","Diseño mueble bella ciao","165.60"
"3/21/2024","Egreso","Impuestos","Igic, diseño mueble Bella Ciao","12.60"
"3/21/2024","Egreso","Impuestos","igic fra 08-24 stand fw store","12.60"
"3/21/2024","Egreso","Impuestos","Igic fra 09-24 Cortina David","36.18"
"3/21/2024","Ingreso","Factura Asesoría","factura de ingreso","1250.56"
"3/21/2024","Egreso","Pago a provedores","egreso de prueba","25.59"
"3/28/2024","Ingreso","Comisiones","COMISIÓN TRABAJOS CON ROVEL GRUPO 1844","168.21"
"4/4/2024","Ingreso","Comisiones","DEVOLUCION DE PRESTAMO A MADRE PARA AIRE ACONDICIONADO ARIÑEZ","1915.00"
"4/6/2024","Ingreso","Factura Diseño","BAÑOS GREEN FIELD","354.20"
"4/9/2024","Ingreso","Factura Proyecto","TRABAJO VEGETACION GRUPO 1844","6398.33"
"3/28/2024","Egreso","Pago a provedores","ASEOSRIA EMPRESARIAL ADRIAN ESTEVEZ","173.61"
"4/1/2024","Egreso","IGIC","IGIC DE FACTURA ROVEL","12.80"
"4/2/2024","Egreso","Pago a provedores","PAGO FINAL AIRE ACONDICIONADO ARIÑEZ","574.59"
"4/3/2024","Egreso","Gastos oficina","PAGO ORDENADOR","135.15"
"4/3/2024","Egreso","Trastero","TRASTERO","94.50"
"4/3/2024","Egreso","Gasolina","PETROPRIX GASOLINA","32.13"
"4/4/2024","Egreso","Asesoría Contable","PGO ATRASADO DE ENERO","150.00"
"4/4/2024","Egreso","Pago a provedores","SITEGROUNG HOSTING Y DOMINIO GR INTERIORISMO","384.43"
"4/8/2024","Egreso","Asesoría Contable","PAGO ELUFISCAL ATRASADO DE FEBRERO","150.00"
"4/9/2024","Egreso","Pago a provedores","PAGO A CARLOS POR TRABAJO VEGETACION GRUPO 1844","5023.35"
"4/9/2024","Egreso","IGIC","IGIC FRA. GUAGUAS CARLOS","328.63"
"4/9/2024","Egreso","IGIC","IGIC FRA HOTEL GREEN FIELD","26.95"
"4/9/2024","Egreso","Gastos oficina","INVERSION MIC","2000.00"
"3/27/2024","Egreso","Seguridad social","CUOTA AUTÓNOMO","300.67"
"4/3/2024","Egreso","Teléfono/internet","SEA MOBILE TELEFONIA","61.52"
"3/30/2024","Egreso","Almacenamiento nube","I CLOUD APPLE","9.99"
"4/9/2024","Egreso","Salario","Salario mes abril","1500.00"
"4/9/2024","Egreso","IGIC","Me faltó del igic de Carlos en grupo 1844","89.95"
"4/12/2024","Egreso","Gasolina","Gasolina Petroprix","30.43"
"4/19/2024","Egreso","IGIC","Factura jacuzzi","21.49"
"4/22/2024","Egreso","Impuestos","Pago modelo 111","15.00"
"4/22/2024","Egreso","Impuestos","Pago modelo 130","90.56"
"4/22/2024","Egreso","IGIC","Pago Igic trimestral","1030.22"
"4/23/2024","Egreso","Pago Personal","Inversión","40.00"
"4/25/2024","Egreso","Asesoría Contable","Elulegal asesoría","150.00"
"4/26/2024","Egreso","Asesoría Contable","Pago para elaboración de renta 2024","200.00"
"4/19/2024","Ingreso","Comisiones","Comisión Jacuzzi","282.44"
"4/25/2024","Egreso","Gasolina","Petroprix","36.70"
"4/28/2024","Egreso","Asesoría empresarial","Asesoria empresarial","175.63"
"4/30/2024","Egreso","Gastos oficina","Plazo del ordenador","135.15"
"5/3/2024","Egreso","Trastero","Pago trastero","94.50"
"4/30/2024","Egreso","Seguridad social","Cargo Cuota Seg social","300.67"
"5/3/2024","Egreso","Teléfono/internet","Teléfono e internet","61.52"
"5/3/2024","Egreso","Venta Suministro","Compra de pinturas en Cin pinturas para obra Sonnenland","297.16"
"5/7/2024","Ingreso","Factura Asesoría","Asesoria Olalla","82.80"
"5/7/2024","Ingreso","Factura Proyecto","Proyecto Viajes Insular","3504.23"
"5/7/2024","Ingreso","Comisiones","Del Nero extra de sillas","743.82"
"5/7/2024","Ingreso","Factura Asesoría","Atico Ancor","400.00"
"5/7/2024","Egreso","IGIC","igic factura iker","10.07"
"5/7/2024","Egreso","IGIC","igic pinturas","35.36"
"5/7/2024","Egreso","IGIC","igic del nero","56.60"
"5/7/2024","Egreso","IGIC","igic olalla","6.30"
"5/7/2024","Egreso","IGIC","igic agencia viajes","266.63"
"5/7/2024","Egreso","Pago a provedores","Fotografias Bell AMore","184.00"
"5/10/2024","Egreso","Pago Personal","Pagos a Yaiza y mama","550.00"
"5/13/2024","Egreso","Gasolina","Gasolina coche grande","51.50"
"5/23/2024","Egreso","Salario","Para viaje","400.00"
"5/27/2024","Egreso","Asesoría Contable","Mensualidad asesoría","150.00"
"5/27/2024","Egreso","Asesoría Contable","FACTURA DE ABRIL POR ERROR DE ELLOS","150.00"
"5/27/2024","Egreso","Licencias","Formación, curso de Oratoria","60.00"
"5/29/2024","Egreso","Licencias","App CleanMac","29.99"
"5/29/2024","Egreso","Almacenamiento nube","iCloud","9.99"
"5/29/2024","Egreso","Gastos oficina","Dispositivo grabador de reuniones y llamadas ChatGPT 4o","189.80"
"5/29/2024","Ingreso","Factura Proyecto","50% proyecto baños hotel Green Field","222.03"
"5/29/2024","Ingreso","Venta Suministro","Pago para comprar en Leroy. Baños Green Field","683.52"
"5/29/2024","Egreso","Gastos oficina","Soporte para CPU. Ikea","19.00"
"5/30/2024","Egreso","Gastos oficina","Pago plazo ordenador","135.15"
"5/30/2024","Egreso","Asesoría empresarial","Asesoria empresarial Adrian Estévez","173.55"
"5/31/2024","Egreso","Pago a provedores","Pago pedido extra de NMC Obra Sonnenland","281.48"
"5/31/2024","Egreso","Seguridad social","Cuota seguridad social autónomo","300.67"
"6/1/2024","Egreso","Gasolina","Petroprix Arinaga","29.51"
"6/2/2024","Egreso","Licencias","Curso Excel y finanzas vitalicio","697.00"
"6/3/2024","Egreso","Pago a provedores","Compra en Leroy baños Green Field","671.23"
"6/3/2024","Egreso","Teléfono/internet","Sea Mobile","61.52"
"6/4/2024","Egreso","Trastero","Trastero","94.50"
"6/4/2024","Egreso","Venta Suministro","Cin pinturas para Sonnenland","333.14"
"6/6/2024","Egreso","Venta Suministro","Pinturas Amado","540.26"
"6/6/2024","Egreso","Gasolina","Petroprix Balos","27.99"
"6/7/2024","Egreso","Venta Suministro","NMC Ancor","790.55"
"6/10/2024","Ingreso","Venta Suministro","Ingreso de ancor de molduras Nmc","644.02"
"6/10/2024","Ingreso","Venta Suministro","Ingreso 2 de molduras Nmc ancor","600.00"
"6/11/2024","Egreso","Pago a provedores","Pintura blanco nube Amado","36.52"
"6/17/2024","Egreso","Asesoría Contable","Asesoría Elufiscal","150.00"
"6/17/2024","Egreso","Gasolina","Petroprix","34.83"
"6/18/2024","Egreso","Salario","Nómina grima","1700.00"
"6/19/2024","Egreso","Pago a provedores","compra de pinturas para la obra de Amado","108.53"
"6/19/2024","Egreso","Pago a provedores","Pintura blanco nube Amado","36.52"
"6/20/2024","Egreso","Pago a provedores","Compra imprimación Cinolite Amado","100.44"
"6/20/2024","Egreso","Gasolina","Petroprix Arinaga","28.00"
"6/25/2024","Egreso","Venta Suministro","Cin Pinturas Amado blanco perla y griega","135.68"
"6/27/2024","Egreso","Impuestos","Schenker logistic NMC Amado","106.93"
"6/28/2024","Egreso","Pago a provedores","Asesoria empresarial Adrián","175.54"
"7/1/2024","Egreso","Gastos oficina","Cuota ordenador","135.15"
"7/1/2024","Egreso","Venta Suministro","Pintura greige","32.71"
"7/1/2024","Egreso","Venta Suministro","rejas Leroy","415.90"
"7/1/2024","Egreso","Venta Suministro","tornillos Leroy","33.52"
"7/1/2024","Ingreso","Venta Suministro","lo de Leroy","1250.00"
"7/3/2024","Egreso","Trastero","Trastero","94.50"
"7/4/2024","Ingreso","Comisiones","NMC molduras amado","859.03"
"7/4/2024","Egreso","Venta Suministro","Pinturas CIn","120.53"
"7/5/2024","Egreso","Gasolina","Petroprix Arinaga","35.65"
"7/6/2024","Ingreso","Factura Proyecto","Resto proyecto Ancor","454.99"
"7/6/2024","Ingreso","Pago a provedores","Pagos varios","350.00"
"7/9/2024","Egreso","Pago Personal","inversión","1600.00"
"7/9/2024","Egreso","Venta Suministro","obramat para amado","14.67"
"7/9/2024","Egreso","Venta Suministro","Leroy","11.29"
"7/9/2024","Egreso","Venta Suministro","Lámparas solares Leroy","69.68"
"7/11/2024","Egreso","Venta Suministro","accesorios campan amado Bosch","38.91"
"7/12/2024","Egreso","Asesoría Contable","Elulegal","150.00"
"7/12/2024","Egreso","Venta Suministro","Leroy Ariñez","22.50"
"7/12/2024","Egreso","Gasolina","Petroprix Arinaga","25.42"
"7/15/2024","Egreso","Venta Suministro","Famara arqueta","77.71"
"7/15/2024","Ingreso","Venta Suministro","Cobro de pagos varios Ariñez","1581.00"
"7/16/2024","Egreso","Licencias","Renovación licencia Sketchup","337.00"
"7/16/2024","Egreso","Pago a provedores","Pavimento Ariñez","1150.74"
"7/16/2024","Egreso","Gasolina","Petroprix Arinaga","33.29"
"7/17/2024","Egreso","IGIC","Igic Pinturas","19.39"
"7/17/2024","Egreso","Pago a provedores","Cin Pinturas Green Field y Amado","277.04"
"7/17/2024","Ingreso","Venta Suministro","Pagos varios","400.00"
"7/18/2024","Egreso","Pago a provedores","Aduanas e igic a Grupamar por Sauna","582.81"
"7/22/2024","Egreso","Impuestos","Pago IRPF modelo 111","30.00"
"7/24/2024","Ingreso","Impuestos","Aduanas e Igic de sauna Amado","582.51"
"7/24/2024","Ingreso","Venta Suministro","Pintura blanca Amado","150.00"
"7/24/2024","Ingreso","Factura Proyecto","Fin proyecto Amado","3150.00"
"7/24/2024","Ingreso","Venta Suministro","Accesorios campana amado","38.91"
"7/27/2024","Ingreso","Venta Suministro","Pintura Hotel","339.88"
"7/27/2024","Ingreso","Comisiones","Comisión Piedractiva Amado","717.23"
"7/28/2024","Egreso","Asesoría Contable","Asesoría empresarial Adrian","173.19"
"7/29/2024","Egreso","Gasolina","Petroprix Arinaga","32.90"
"7/29/2024","Egreso","Pago Personal","Inversión MIC","1700.00"
"7/30/2024","Egreso","Gastos oficina","Pago letra de ordenador","135.15"
"7/30/2024","Ingreso","Comisiones","Cojines Wic. Sandra","70.00"
"8/1/2024","Egreso","Venta Suministro","brocas","66.10"
"8/2/2024","Egreso","Salario","salario Grima","1700.00"
"8/2/2024","Egreso","Seguridad social","Cuota Seg social autónomo","300.67"
"8/5/2024","Egreso","Teléfono/internet","Sea mobile tlfo","61.52"
"8/5/2024","Egreso","Trastero","trastero","94.50"
"8/6/2024","Ingreso","Venta Suministro","diferencia de factura","6.92"
"8/8/2024","Egreso","Gasolina","Petroprix Agüimes","29.52"
"8/16/2024","Egreso","Asesoría Contable","Elulegal","150.00"
"8/20/2024","Ingreso","Comisiones","Saunas Luxe","656.00"
"8/21/2024","Egreso","Gasolina","Petroprix Sebadal","34.87"
"8/22/2024","Ingreso","Comisiones","Comisión Esteban carpintero","3300.00"
"8/22/2024","Ingreso","Comisiones","Comisión Tapiceria Molina","150.00"
"8/25/2024","Egreso","Pago a provedores","Asesoría Adrián","169.37"
"8/30/2024","Egreso","Gastos oficina","Plazo del ordenador","135.15"
"9/3/2024","Egreso","Trastero","trastero","94.50"
"9/4/2024","Egreso","Licencias","Pago extra del master de iluminación","60.57"
"9/6/2024","Egreso","Gasolina","Petroprix Agüimes","32.87"
"8/30/2024","Egreso","Seguridad social","Seguro autónomo","300.67"
"9/3/2024","Egreso","Teléfono/internet","Telefono septiembre","61.52"
"8/24/2024","Ingreso","Pago Personal","Devolución de pagos pendientes","754.00"
"9/12/2024","Ingreso","Comisiones","Comisión Dicerma de Sonnenland","2800.00"
"9/16/2024","Egreso","Asesoría Contable","Elulegal","150.00"
"9/19/2024","Egreso","Pago a provedores","Fregadero  exterior Sonnenland","288.76"
"9/23/2024","Ingreso","Comisiones","Fregadero exterior Sonnenland","330.00"
"9/22/2024","Egreso","Gasolina","Petroprix Agüimes","31.35"
"9/24/2024","Ingreso","Pago Personal","Devolución dinero personal prestado","1600.00"
"9/24/2024","Egreso","Pago a provedores","Asesoría empresarial Adrian","169.43"
"9/26/2024","Ingreso","Factura Proyecto","Pago proyecto Hotel Green Field","190.90"
"10/1/2024","Egreso","Gastos oficina","Plazo ordenador","135.15"
"10/1/2024","Egreso","Teléfono/internet","Teléfono","61.52"
"9/30/2024","Egreso","Seguridad social","Cuota Seguridad Social","300.67"
"10/3/2024","Egreso","Trastero","Trastero","94.50"
"10/3/2024","Ingreso","Venta Suministro","Cobro suministros varios","1200.00"
"10/4/2024","Egreso","Gasolina","Gasolina petroprix las palmas","24.40"
"10/6/2024","Egreso","Pago a provedores","Suscripción Canva","27.00"
"10/11/2024","Egreso","Venta Suministro","Dielca luminarias Viajes Insular","1127.72"
"10/12/2024","Ingreso","Venta Suministro","Pago de luminarias de Viajes Insular","1127.72"
"10/14/2024","Ingreso","Pago a provedores","Pintura Schaman","88.00"
"10/15/2024","Egreso","Gasolina","Petroprix Las Palmas","32.46"
"10/21/2024","Egreso","Asesoría Contable","Elulegal","150.00"
"10/21/2024","Egreso","Gasolina","Gasolina Petroprix Las Palmas","28.00"
"10/22/2024","Egreso","Impuestos","modelo 420","196.18"
"10/22/2024","Egreso","Asesoría empresarial","Asesoría empresarial Adrian","173.46"
"10/24/2024","Egreso","Venta Suministro","Gastos varios de Ferreteria para instalación Dicerma","51.23"
"10/25/2024","Egreso","Venta Suministro","Compras varias en ferretería instalación Dicerma","71.05"
"10/28/2024","Egreso","Venta Suministro","Compras ferretería instalación Dicerma","15.86"
"10/28/2024","Ingreso","Comisiones","Propina Trabajo Sonnenland","1000.00"
"10/31/2024","Egreso","Seguridad social","Cuota seguridad social autónomo","300.67"
"11/1/2024","Egreso","Gastos oficina","Letra ordenador","135.15"
"11/5/2024","Egreso","Gasolina","Petroprix Sebadal","30.28"
"11/5/2024","Egreso","Teléfono/internet","Seamovil","61.65"
"11/7/2024","Ingreso","Comisiones","Carlos Clavero de Ancor","325.68"
"11/7/2024","Egreso","Gastos oficina","Canvas anual","110.00"
"11/7/2024","Egreso","Pago a provedores","Formación financiera Pro mensual","100.00"
"11/14/2024","Egreso","Venta Suministro","Pinturas Ariñez mamá","196.82"
"11/17/2024","Egreso","Gastos oficina","Suscripción Chat Gpt mensual","19.62"
"11/20/2024","Ingreso","Factura Diseño","Instalación Dicerma","1540.80"
"11/20/2024","Egreso","IGIC","Igic Instalación Dicerma","100.80"
"11/20/2024","Egreso","Gasolina","Petroprix Sebadal","27.67"
"11/22/2024","Egreso","Asesoría Contable","Elulegal","150.00"
"11/22/2024","Egreso","Venta Suministro","Pinturas Viajes Insular","120.37"
"11/22/2024","Egreso","Venta Suministro","Perchero Viajes Insular","37.60"
"11/22/2024","Ingreso","Venta Suministro","Pintura mamá y mas","720.00"
"11/22/2024","Egreso","IGIC","Igic factura Carlos Clavero","24.78"
"11/24/2024","Egreso","Almacenamiento nube","Dropbox","11.99"
"11/24/2024","Egreso","Asesoría Contable","Asesoría empresarial, Adrián","181.00"
"11/24/2024","Egreso","Trastero","Trastero","94.50"
"11/24/2024","Egreso","Impuestos","Impuesto municipal de basura","12.62"
"11/28/2024","Ingreso","Venta Suministro","Compras para Viajes insular","255.37"
"11/28/2024","Egreso","IGIC","Igic Suministro Viajes Insular","16.71"
"11/29/2024","Egreso","Seguridad social","Cuota autónomo","300.67"
"11/29/2024","Egreso","IGIC","IGIC factura 34 24 de viajes insular","16.71"
"12/2/2024","Egreso","Gastos oficina","Letra del ordenador","135.15"
"12/3/2024","Egreso","Teléfono/internet","Telefono","61.59"
"12/7/2024","Egreso","Pago a provedores","Formación financiera","100.00"
"12/9/2024","Egreso","Gasolina","Petroprix Sebadal","28.99"
"12/16/2024","Egreso","Trastero","Trastero","94.50"
"12/16/2024","Egreso","Venta Suministro","Estanterías Ikea Viajes Insular","24.00"
"12/17/2024","Ingreso","Comisiones","Gorohogar de Viajes Insular","878.37"
"12/17/2024","Egreso","IGIC","Igic de Gorohogar","66.83"
"12/18/2024","Ingreso","Factura Asesoría","Asesoría Hotel Green Field pintura fachada","110.40"
"12/18/2024","Egreso","Gastos oficina","Chat gpt","19.71"
"12/18/2024","Egreso","IGIC","igic factura Green Field","8.40"
"12/19/2024","Ingreso","Factura Proyecto","Mitad de factura proyecto Club La Calzada","2000.00"
"12/19/2024","Egreso","IGIC","Igic Presupuesto club La Calzada","140.00"
"12/23/2024","Egreso","Asesoría Contable","ELulegal","80.00"
"12/25/2024","Egreso","Asesoría Contable","Asesoría Adrián","181.32"
"12/28/2024","Ingreso","Venta Suministro","Estanterías Viajes Insular Ikea","24.00"
"12/28/2024","Ingreso","Factura Proyecto","Pago final Viajes Insular","2732.77"
"12/30/2024","Egreso","Gasolina","Petroprix Sebadal","31.59"
"12/31/2024","Egreso","Gastos oficina","Letra Ordenador","135.15"
"12/31/2024","Egreso","Trastero","Trastero","94.50"
"12/31/2024","Egreso","Seguridad social","Cuota seguridad social autónomo","300.67"
"12/31/2024","Egreso","Salario","Salario diciembre","1700.00"
"12/31/2024","Egreso","Gastos oficina","Siteground renovación Hosting","21.39"
"12/7/2024","Egreso","Formacion","Libertad Financiera Pro","100.00"
"1/8/2025","Egreso","Suministros","Trastero","94.50"
"1/9/2025","Egreso","IGIC","Igic Idobra 38-24","31.56"
"1/9/2025","Egreso","IGIC","De las facturas de Viajes insular y Dicerma 39 y 40","308.73"
"1/10/2025","Egreso","Suministros","Led Cajón vegetal Viajes Insular","64.03"
"1/17/2025","Egreso","Formacion","Financiero","194.29"
"1/18/2025","Egreso","Gastos oficina","Chat gpt","20.19"
"1/22/2025","Egreso","Asesoría empresarial","Adrian Esteban","182.68"
"1/23/2025","Egreso","Asesoría contable","Kaizen Asesoria","80.00"
"1/24/2025","Egreso","Gasolina","Petroprix Sebadal","28.59"
"1/25/2025","Egreso","Formacion","Formación inversiones","550.00"
"1/25/2025","Egreso","Salario","MEdia nómina Grima","400.00"
"1/30/2025","Egreso","personal operativo/administrativo","Pago a Vero y Jorge por trabajos Dicerma","960.00"
"1/30/2025","Egreso","Gastos oficina","letra del ordenador","135.15"
"1/30/2025","Egreso","Suministros","Luminarias exterior Amado","132.47"
"2/3/2025","Egreso","Gastos de Grima","Alquiler  plaza de garaje","55.00"
"2/4/2025","Egreso","Transporte","Recarga app parking","10.00"
"2/5/2025","Egreso","Gastos oficina","tTastero","94.50"
"2/6/2025","Egreso","Formacion","Inversiones","150.00"
"2/12/2025","Egreso","Pago a provedores","Adrián. Supervisión y arreglos página web","222.40"
"2/12/2025","Egreso","Almacenamiento nube","Dropbox y iCloud","22.00"
"2/13/2025","Egreso","Gasolina","Petroprix sebadal","35.10"
"1/31/2025","Egreso","IGIC","Modelo 415 de la Agencia tributaria Canaria","520.26"
"2/17/2025","Egreso","Formacion","Formación desarrollo personal","194.29"
"2/18/2025","Egreso","Suministros","Chat gpt","19.86"
"2/21/2025","Egreso","personal operativo/administrativo","Veronica por apoyo en Asesoria Vecindario Viajes Insular","231.00"
"2/22/2025","Egreso","Asesoría contable","Kaizen Asesores","80.00"
"2/26/2025","Egreso","Formacion","Curso Financiero","550.00"
"2/28/2025","Egreso","Gastos oficina","Letra ordenador","135.15"
"2/28/2025","Egreso","Seguridad social","Cuota seguridad social","301.63"
"3/1/2025","Egreso","Asesoría empresarial","Adrian","179.01"
"3/3/2025","Egreso","Transporte","Plaza de garaje","55.00"
"3/4/2025","Egreso","Gastos de Grima","Compra de sillas","75.20"
"3/4/2025","Egreso","Almacenamiento nube","iCloud","9.99"
"3/11/2025","Egreso","Suministros","trastero","94.50"
"3/11/2025","Egreso","Almacenamiento nube","Dropbox anual","119.88"
"3/12/2025","Egreso","Gasolina","Petroprix sebadal","27.59"
"3/12/2025","Egreso","IGIC","Igic factura La Calzada","250.56"
"3/12/2025","Egreso","Gastos oficina","Ordenador kit digital Ecomputer","639.00"
"3/17/2025","Egreso","Formacion","Desarrollo personal","194.29"
"3/19/2025","Egreso","IGIC","Factura 5 ancor","195.01"
"3/19/2025","Egreso","Salario","Nómina grima","700.00"
"3/20/2025","Egreso","Asesoría contable","Kaizen asesores","80.00"
"3/25/2025","Egreso","Asesoría empresarial","Adrian ASesoria y gestión web","250.44"
"3/30/2025","Egreso","Seguridad social","Cuota seguridad social","301.63"
"4/1/2025","Egreso","Gastos oficina","Letra ordenador","135.15"
"4/2/2025","Egreso","Gasolina","Petroprix sebadal","31.25"
"4/3/2025","Egreso","Gastos oficina","trastero","94.50"
"4/4/2025","Egreso","Gastos de Grima","salario","450.00"
"4/7/2025","Egreso","Suministros","Compra de lamparas de AMado","615.96"
"4/15/2025","Egreso","Gasolina","Petroprix sebadal","28.58"
"4/18/2025","Egreso","Formacion","Ultimo pago Hotmart","194.29"
"4/22/2025","Egreso","Asesoría contable","Kaizen asesores","80.00"
"4/23/2025","Egreso","Gastos de Grima","Pago querella por inversiones","450.00"
"4/24/2025","Egreso","Gastos de Grima","Pago contestación requerimiento","75.00"
"4/24/2025","Egreso","Gastos oficina","Siteground hosting","359.39"
"4/24/2025","Egreso","Gastos oficina","Siteground dominio","25.04"
"4/24/2025","Egreso","Formacion","Curso Módulos dinámicos Hotmart","91.09"
"4/2/2025","Egreso","Teléfono/internet","Sea mobile","61.53"
"4/29/2025","Egreso","IGIC","Igic ordenador Kit digital","114.73"
"4/30/2025","Egreso","Gastos oficina","Letra ordenador","135.15"
"4/30/2025","Egreso","Seguridad social","Cuota Seguridad Social","301.63"
"5/1/2025","Egreso","Almacenamiento nube","iCloud","9.99"
"5/5/2025","Egreso","Teléfono/internet","Telfono Sea Mobile","61.53"
"5/5/2025","Egreso","Gastos oficina","Trastero","94.50"
"5/5/2025","Egreso","Asesoría contable","Renta 2024","90.00"
"5/5/2025","Egreso","IGIC","Igic factura Viajes Insular","70.60"
"5/8/2025","Egreso","Asesoría contable","renta","90.00"
"5/13/2025","Egreso","Gastos de Grima","Ahorro","41.00"
